"Motif","TFs"
"MA0006.1","ahr1a"
"MA0006.1","ahr1b"
"MA0854.1","alx1"
"MA0634.1","alx3"
"MA0853.1","alx4a"
"MA0853.1","alx4b"
"MA0007.3","ar"
"MA0151.1","arid3a"
"MA0601.1","arid3b"
"MA0602.1","arid5a"
"MA0004.1","arnt"
"MA0006.1","arnt"
"MA0259.1","arnt"
"MA1464.1","arnt2"
"MA0603.1","arntl1a"
"MA0603.1","arntl1b"
"MA0874.1","arxb"
"MA0874.1","arxa"
"MA1100.2","ascl1a"
"MA1100.2","ascl1b"
"MA1631.1","ascl1a"
"MA1631.1","ascl1b"
"MA0604.1","atf1"
"MA1632.1","atf2"
"MA1988.1","atf3"
"MA0605.2","atf3"
"MA0833.2","atf4a"
"MA0833.2","atf4b"
"MA1466.1","atf6"
"MA0834.1","atf7a"
"MA0834.1","atf7b"
"MA0461.2","atoh1b"
"MA0461.2","atoh1a"
"MA1467.2","atoh1b"
"MA1467.2","atoh1a"
"MA1468.1","atoh7"
"MA0591.1","bach1b"
"MA0591.1","bach1a"
"MA1633.2","bach1a"
"MA1633.2","bach1b"
"MA1470.1","bach2b"
"MA1470.1","bach2a"
"MA1101.2","bach2b"
"MA1101.2","bach2a"
"MA0877.3","barhl1b"
"MA0877.3","barhl1a"
"MA0635.1","barhl2"
"MA0875.1","barx1"
"MA1471.1","barx2"
"MA1634.1","batf"
"MA0462.2","batf"
"MA0835.2","batf3"
"MA0463.2","bcl6ab"
"MA0463.2","bcl6aa"
"MA0731.1","bcl6b"
"MA1472.2","bhlha15"
"MA0607.2","bhlha15"
"MA0818.2","bhlhe22"
"MA1635.1","bhlhe22"
"MA0817.1","bhlhe23"
"MA0464.2","bhlhe40"
"MA0636.1","bhlhe41"
"MA1928.1","bnc2"
"MA0876.1","bsx"
"MA0878.3","cdx1a"
"MA0878.3","cdx1b"
"MA1473.1","cdx4"
"MA0019.1","cebpa"
"MA0102.4","cebpa"
"MA0466.3","cebpb"
"MA0836.2","cebpd"
"MA0837.2","cebp1"
"MA1636.1","cebpg"
"MA0838.1","cebpg"
"MA0819.2","clockb"
"MA0819.2","clocka"
"MA0018.4","creb1a"
"MA0018.4","creb1b"
"MA0839.1","creb3l1"
"MA0608.1","creb3l2"
"MA1474.1","creb3l4"
"MA1475.1","creb3l4"
"MA0840.1","creb5b"
"MA0840.1","creb5a"
"MA0609.2","crema"
"MA0609.2","cremb"
"MA0467.2","otx5"
"MA0467.2","crx"
"MA0139.1","ctcf"
"MA1930.1","ctcf"
"MA1929.1","ctcf"
"MA0754.2","cux1a"
"MA0754.2","cux1b"
"MA0755.1","cux2b"
"MA0755.1","cux2a"
"MA0639.1","dbpa"
"MA0639.1","dbpb"
"MA0019.1","ddit3"
"MA0879.2","dlx1a"
"MA0885.2","dlx2a"
"MA0885.2","dlx2b"
"MA0880.1","dlx3b"
"MA0881.1","dlx4b"
"MA0881.1","dlx4a"
"MA1476.2","dlx5a"
"MA0882.1","dlx6a"
"MA0883.1","dmbx1a"
"MA0883.1","dmbx1b"
"MA1603.1","dmrt1"
"MA0610.1","dmrt3a"
"MA0610.1","dmrt3b"
"MA1478.1","dmrta2a"
"MA1478.1","dmrta2b"
"MA1478.1","dmrta2"
"MA1481.1","drgx"
"MA1949.1","drgx"
"MA1940.1","drgx"
"MA1944.1","drgx"
"MA0024.3","e2f1"
"MA0864.2","e2f2"
"MA0469.3","e2f3"
"MA0470.2","e2f4"
"MA0471.2","e2f6"
"MA0758.1","e2f7"
"MA0865.2","e2f8"
"MA0154.4","ebf1a"
"MA0154.4","ebf1b"
"MA1604.1","ebf2"
"MA1637.1","ebf3a"
"MA1637.1","ebf3b"
"MA0162.4","egr1"
"MA0472.2","egr2a"
"MA0472.2","egr2b"
"MA0732.1","egr3"
"MA0733.1","egr4"
"MA0598.3","ehf"
"MA0473.3","elf1"
"MA1953.1","elf1"
"MA1952.1","elf1"
"MA1483.2","elf2a"
"MA1483.2","elf2b"
"MA0640.2","elf3"
"MA0028.2","elk1"
"MA1954.1","elk1"
"MA1933.1","elk1"
"MA1957.1","elk1"
"MA1932.1","elk1"
"MA1931.1","elk1"
"MA1958.1","elk1"
"MA0759.2","elk3"
"MA1955.1","elk3"
"MA0076.2","elk4"
"MA0612.2","emx1"
"MA0886.1","emx2"
"MA0027.2","en1a"
"MA0027.2","en1b"
"MA0642.2","en2a"
"MA0642.2","en2b"
"MA0800.1","eomesa"
"MA0800.1","eomesb"
"MA1937.1","erf"
"MA1938.1","erf"
"MA0760.1","erf"
"MA1934.1","erf"
"MA1936.1","erf"
"MA1939.1","erf"
"MA1935.1","erf"
"MA0474.3","erg"
"MA0112.3","esr1"
"MA0258.2","esr2b"
"MA0258.2","esr2a"
"MA0592.3","esrra"
"MA0141.3","esrrb"
"MA0643.1","esrrgb"
"MA0643.1","esrrga"
"MA0098.3","ets1"
"MA1484.1","ets2"
"MA0761.2","etv1"
"MA1966.1","etv1"
"MA0764.3","etv4"
"MA1946.1","etv5a"
"MA1946.1","etv5b"
"MA1944.1","etv5a"
"MA1944.1","etv5b"
"MA1945.1","etv5a"
"MA1945.1","etv5b"
"MA1947.1","etv5a"
"MA1947.1","etv5b"
"MA1948.1","etv5a"
"MA1948.1","etv5b"
"MA0765.3","etv5a"
"MA0765.3","etv5b"
"MA0645.1","etv6"
"MA1708.1","etv7"
"MA1960.1","evx1"
"MA0887.1","evx1"
"MA0888.1","evx2"
"MA1485.1","ferd3l"
"MA0156.3","fev"
"MA1941.1","figla"
"MA1934.1","figla"
"MA0820.1","figla"
"MA1945.1","figla"
"MA1967.1","fli1rs"
"MA1967.1","fli1"
"MA0475.2","fli1rs"
"MA0475.2","fli1"
"MA1956.1","fli1rs"
"MA1956.1","fli1"
"MA1950.1","fli1rs"
"MA1950.1","fli1"
"MA1949.1","fli1rs"
"MA1949.1","fli1"
"MA1141.1","fosaa"
"MA1141.1","fosab"
"MA1134.1","fosaa"
"MA1134.1","fosab"
"MA1126.1","fosaa"
"MA1126.1","fosab"
"MA0099.3","fosaa"
"MA0099.3","fosab"
"MA1951.1","fosaa"
"MA1951.1","fosab"
"MA0476.1","fosaa"
"MA0476.1","fosab"
"MA1135.1","fosb"
"MA1127.1","fosb"
"MA1136.1","fosb"
"MA1128.1","fosl1b"
"MA1128.1","fosl1a"
"MA1129.1","fosl1b"
"MA1129.1","fosl1a"
"MA1137.1","fosl1b"
"MA1137.1","fosl1a"
"MA1142.1","fosl1b"
"MA1142.1","fosl1a"
"MA1143.1","fosl1b"
"MA1143.1","fosl1a"
"MA0477.2","fosl1b"
"MA0477.2","fosl1a"
"MA1138.1","fosl2"
"MA1138.1","fosl2l"
"MA1144.1","fosl2"
"MA1144.1","fosl2l"
"MA1131.1","fosl2"
"MA1131.1","fosl2l"
"MA0478.1","fosl2"
"MA0478.1","fosl2l"
"MA1139.1","fosl2"
"MA1139.1","fosl2l"
"MA1130.1","fosl2"
"MA1130.1","fosl2l"
"MA1145.1","fosl2"
"MA1145.1","fosl2l"
"MA0148.4","foxa1"
"MA0047.3","foxa2"
"MA1683.1","foxa3"
"MA0845.1","foxb1a"
"MA0845.1","foxb1b"
"MA0032.2","foxc1a"
"MA0032.2","foxc1b"
"MA0031.1","foxd1"
"MA0847.3","foxd2"
"MA0041.2","foxd3"
"MA1487.2","foxe1"
"MA0030.1","foxf2b"
"MA0030.1","foxf2a"
"MA0613.1","foxg1a"
"MA0479.1","foxh1"
"MA1946.1","foxi1"
"MA0042.2","foxi1"
"MA1942.1","foxi1"
"MA1950.1","foxi1"
"MA1935.1","foxi1"
"MA1952.1","foxj2"
"MA0851.1","foxj3"
"MA0852.2","foxk1"
"MA1103.2","foxk2a"
"MA1103.2","foxk2b"
"MA0033.2","foxl1"
"MA1607.1","foxl2a"
"MA1607.1","foxl2b"
"MA1684.1","foxn1"
"MA1489.1","foxn3"
"MA0480.2","foxo1a"
"MA0480.2","foxo1b"
"MA1947.1","foxo1a"
"MA1947.1","foxo1b"
"MA1953.1","foxo1a"
"MA1953.1","foxo1b"
"MA1955.1","foxo1a"
"MA1955.1","foxo1b"
"MA1956.1","foxo1a"
"MA1956.1","foxo1b"
"MA1954.1","foxo1a"
"MA1954.1","foxo1b"
"MA1936.1","foxo1a"
"MA1936.1","foxo1b"
"MA0157.3","foxo3b"
"MA0157.3","foxo3a"
"MA0848.1","foxo4"
"MA0849.1","foxo6b"
"MA0849.1","foxo6a"
"MA0481.3","foxp1a"
"MA0481.3","foxp1b"
"MA0593.1","foxp2"
"MA0850.1","foxp3b"
"MA0850.1","foxp3a"
"MA0040.1","foxq1a"
"MA0040.1","foxq1b"
"MA0062.3","gabpa"
"MA0035.4","gata1a"
"MA0035.4","gata1b"
"MA0140.2","gata1a"
"MA0140.2","gata1b"
"MA0036.3","gata2a"
"MA0036.3","gata2b"
"MA0037.4","gata3"
"MA0482.2","gata4"
"MA0766.2","gata5"
"MA1104.2","gata6"
"MA0889.1","gbx1"
"MA0890.1","gbx2"
"MA0767.1","gcm2"
"MA0038.2","gfi1aa"
"MA0038.2","gfi1ab"
"MA1990.1","gli1"
"MA0734.3","gli2b"
"MA0734.3","gli2a"
"MA1491.2","gli3"
"MA0735.1","glis1b"
"MA0735.1","glis1a"
"MA0736.1","glis2a"
"MA0736.1","glis2b"
"MA0737.1","glis3"
"MA0615.1","gmeb1"
"MA0862.1","gmeb2"
"MA0647.1","grhl1"
"MA1105.2","grhl2b"
"MA1105.2","grhl2a"
"MA0648.1","gsc"
"MA0892.1","gsx1"
"MA0893.2","gsx2"
"MA1638.1","hand2"
"MA1099.2","her6"
"MA0616.2","hes2.2"
"MA0616.2","hes2.1"
"MA0821.2","her2"
"MA1493.1","hes6"
"MA0822.1","her1"
"MA0822.1","her5"
"MA0894.1","hesx1"
"MA0823.1","hey1"
"MA0649.1","hey2"
"MA0739.1","hic1"
"MA0738.1","hic2"
"MA0259.1","hif1ab"
"MA0259.1","hif1aa"
"MA1106.1","hif1ab"
"MA1106.1","hif1aa"
"MA0131.2","hinfp"
"MA0043.3","hlfa"
"MA0043.3","hlfb"
"MA0895.1","hmbox1b"
"MA0895.1","hmbox1a"
"MA0896.1","hmx1"
"MA0897.1","hmx2"
"MA0898.1","hmx3a"
"MA0898.1","hmx3b"
"MA0046.2","hnf1a"
"MA0153.2","hnf1bb"
"MA0153.2","hnf1ba"
"MA0114.4","hnf4a"
